time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-06-01T23:46:35.600Z,22.336,120.915,41.3,4.1,mb,17,,,0.9,us,usp0009tsu,2014-11-07T01:10:16.452Z,"40 km NNE of Hengchun, Taiwan",earthquake,,12.2,,5,reviewed,us,us
2000-06-01T23:10:51.320Z,19.471,-65.033,25.5,3.7,md,5,,,,us,usp0009tst,2014-11-07T01:10:16.448Z,"125 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2000-06-01T21:59:19.880Z,-32.99,-70.439,96.2,3.1,md,11,,,,us,usp0009tsr,2014-11-07T01:10:16.428Z,"22 km SE of Los Andes, Chile",earthquake,,,,,reviewed,guc,guc
2000-06-01T21:02:58.410Z,19.417,-65.424,49.9,4.4,mb,37,,,1.21,us,usp0009tsp,2014-11-07T01:10:16.406Z,"117 km NNE of Vieques, Puerto Rico",earthquake,,13.1,,9,reviewed,us,us
2000-06-01T20:40:59.500Z,34.013,98.246,33,4.9,mb,29,,,1.25,us,usp0009tsk,2014-11-07T01:10:16.375Z,"Southern Qinghai, China",earthquake,,,,10,reviewed,us,us
2000-06-01T20:32:22.250Z,-23.973,-66.786,189.9,4,mb,17,,,1,us,usp0009tsj,2014-11-07T01:10:16.365Z,"54 km WNW of San Antonio de los Cobres, Argentina",earthquake,,8.6,,8,reviewed,us,us
2000-06-01T20:05:17.260Z,9.955,92.822,100,3.8,mb,10,,,0.63,us,usp0009tsh,2014-11-07T01:10:16.360Z,"189 km S of Port Blair, India",earthquake,,,,2,reviewed,us,us
2000-06-01T17:56:26.310Z,37.453,20.5,47.4,4.3,mb,57,,,1.09,us,usp0009tse,2014-11-07T01:10:16.158Z,"41 km SW of Lithakiá, Greece",earthquake,,7.5,,19,reviewed,us,us
2000-06-01T17:02:39.980Z,-5.644,145.089,112.2,5.1,mwc,151,,,0.78,us,usp0009tsc,2016-11-09T22:39:18.051Z,"43 km NNE of Kundiawa, Papua New Guinea",earthquake,,2.7,,,reviewed,us,hrv
2000-06-01T16:09:10.600Z,-1.531,123.902,33,4.2,mb,11,,,1.51,us,usp0009ts7,2014-11-07T01:10:15.884Z,"139 km ESE of Luwuk, Indonesia",earthquake,,,,3,reviewed,us,us
