time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-01-01T23:35:57.200Z,-34.686,-72.513,27.3,3.8,md,11,,,,us,usp000a71y,2014-11-07T01:11:50.760Z,"72 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2001-01-01T23:06:05.190Z,18.995,-65.498,48.5,3.2,md,7,,,,us,usp000a71x,2014-11-07T01:11:50.756Z,"72 km NNE of Vieques, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-01-01T22:59:29.670Z,6.847,126.801,33,4.9,mb,46,,,0.9,us,usp000a71w,2014-11-07T01:11:50.740Z,"45 km ESE of Tarragona, Philippines",earthquake,,,,25,reviewed,us,us
2001-01-01T22:41:26.030Z,6.838,126.885,33,5,mb,50,,,0.92,us,usp000a71v,2014-11-07T01:11:50.720Z,"53 km ESE of Jovellar, Philippines",earthquake,,,,30,reviewed,us,us
2001-01-01T22:27:25.240Z,6.565,127.091,33,4.6,mb,17,,,1.11,us,usp000a71u,2014-11-07T01:11:50.713Z,"88 km ESE of Lukatan, Philippines",earthquake,,,,14,reviewed,us,us
2001-01-01T22:20:44.300Z,-38.13,178.82,29,3.9,ml,9,,,,us,usp000a71s,2014-11-07T01:11:50.680Z,"91 km NE of Gisborne, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-01-01T21:29:37.380Z,-31.999,-71.538,82,5.1,mb,20,,,0.62,us,usp000a71q,2014-11-07T01:11:50.664Z,"53 km SW of Illapel, Chile",earthquake,,5.9,,1,reviewed,us,us
2001-01-01T21:28:49.650Z,6.41,126.881,33,5,mb,52,,,1.16,us,usp000a71p,2014-11-07T01:11:50.639Z,"77 km E of Pondaguitan, Philippines",earthquake,,,,27,reviewed,us,us
2001-01-01T20:23:35.700Z,35.37,23.69,5,3.4,md,5,,,,us,usp000a71m,2014-11-07T01:11:50.630Z,"14 km SSE of Kíssamos, Greece",earthquake,,,,,reviewed,ath,ath
2001-01-01T19:12:21.020Z,43.011,17.708,10,3.1,ml,24,,,1.28,us,usp000a71g,2014-11-07T01:11:50.573Z,"Croatia-Bosnia and Herzegovina border region",earthquake,,,,,reviewed,us,vie
