time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-01-01T18:55:38.100Z,34.99,23.56,5,3.6,md,6,,,,us,usp000a71f,2014-11-07T01:11:50.569Z,"28 km SSW of Palaióchora, Greece",earthquake,,,,,reviewed,ath,ath
2001-01-01T18:36:17.580Z,-4.813,153.286,33,4.4,mb,10,,,1.23,us,usp000a71e,2014-11-07T01:11:50.562Z,"124 km ESE of Kokopo, Papua New Guinea",earthquake,,,,6,reviewed,us,us
2001-01-01T17:54:07.680Z,-20.795,-174.396,33,4.9,mb,54,,,1.07,us,usp000a71d,2014-11-07T01:11:50.522Z,"79 km ENE of Kolonga, Tonga",earthquake,,,,26,reviewed,us,us
2001-01-01T16:15:27.630Z,19.071,-65.412,25,3.2,md,4,,,,us,usp000a71c,2014-11-07T01:11:50.518Z,"83 km NNE of Luquillo, Puerto Rico",earthquake,,,,,reviewed,rspr,rspr
2001-01-01T15:13:22.700Z,-32.813,-71.604,61.8,3.5,md,14,,,,us,usp000a718,2014-11-07T01:11:50.478Z,"23 km NNW of Viña del Mar, Chile",earthquake,,,,,reviewed,guc,guc
2001-01-01T14:32:26.370Z,52.507,152.835,487.5,4.6,mb,146,,,0.63,us,usp000a717,2014-11-07T01:11:50.418Z,"275 km WNW of Ozernovskiy, Russia",earthquake,,4.4,,83,reviewed,us,us
2001-01-01T12:44:31.220Z,-0.24,134.961,33,5,mb,12,,,1.08,us,usp000a716,2014-11-07T01:11:50.408Z,"121 km NE of Manokwari, Indonesia",earthquake,,,,7,reviewed,us,us
2001-01-01T12:19:45.550Z,6.649,127.199,33,4.4,mb,6,,,0.54,us,usp000a715,2014-11-07T01:11:50.403Z,"94 km ESE of Jovellar, Philippines",earthquake,,,,4,reviewed,us,us
2001-01-01T12:02:27.800Z,46.789,1.314,6,3,ml,13,,,,us,usp000a714,2014-11-07T01:11:50.387Z,"3 km WSW of Vendœuvres, France",earthquake,,,,,reviewed,ldg,ldg
2001-01-01T11:58:53.300Z,-39.63,178.66,12,3.8,ml,11,,,,us,usp000a713,2014-11-07T01:11:50.378Z,"122 km SSE of Gisborne, New Zealand",earthquake,,,,,reviewed,wel,wel
2001-01-01T09:34:29.770Z,6.813,126.766,33,5.1,mb,30,,,0.86,us,usp000a70z,2014-11-07T01:11:50.345Z,"43 km SE of Tarragona, Philippines",earthquake,,,,21,reviewed,us,us
2001-01-01T09:28:01.420Z,-18.354,167.992,33,4.6,mb,25,,,1.25,us,usp000a70y,2014-11-07T01:11:50.330Z,"76 km SSW of Port-Vila, Vanuatu",earthquake,,,,8,reviewed,us,us
2001-01-01T09:25:33.020Z,-3.788,150.634,33,4.8,mb,11,,,1.17,us,usp000a70w,2014-11-07T01:11:50.320Z,"New Ireland region, Papua New Guinea",earthquake,,,,8,reviewed,us,us
2001-01-01T09:20:11.440Z,6.636,126.803,33,5,mb,27,,,1.14,us,usp000a70v,2014-11-07T01:11:50.299Z,"58 km ESE of Bobon, Philippines",earthquake,,,,16,reviewed,us,us
2001-01-01T09:12:25.920Z,6.577,126.859,33,4.9,mb,17,,,0.89,us,usp000a70u,2014-11-07T01:11:50.290Z,"66 km ESE of Bobon, Philippines",earthquake,,,,12,reviewed,us,us
2001-01-01T09:06:29.800Z,34.99,23.63,5,3.2,md,4,,,,us,usp000a70s,2014-11-07T01:11:50.281Z,"27 km S of Palaióchora, Greece",earthquake,,,,,reviewed,ath,ath
2001-01-01T08:54:31.580Z,6.631,126.899,33,6.8,mwc,64,,,0.94,us,usp000a70q,2020-09-18T18:03:10.561Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,hrv
2001-01-01T08:36:53.150Z,6.71,126.726,33,5,mb,36,,,0.92,us,usp000a70p,2014-11-07T01:11:50.190Z,"47 km SE of Lukatan, Philippines",earthquake,,,,20,reviewed,us,us
2001-01-01T07:32:43.880Z,7.081,126.796,33,4.8,mb,8,,,0.95,us,usp000a70m,2014-11-07T01:11:50.179Z,"31 km ESE of Manay, Philippines",earthquake,,,,2,reviewed,us,us
2001-01-01T07:11:40.400Z,-38.79,176.2,81,3.8,ml,16,,,,us,usp000a70k,2014-11-07T01:11:50.171Z,"North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2001-01-01T06:57:04.170Z,6.898,126.579,33,7.5,mwc,324,,,1.06,us,usp000a70h,2020-09-18T18:02:51.314Z,"21 km SE of Lukatan, Philippines",earthquake,,,,,reviewed,us,hrv
2001-01-01T05:14:05.690Z,27.426,52.954,33,4.6,mb,22,,,0.99,us,usp000a70g,2014-11-07T01:11:49.796Z,"southern Iran",earthquake,,,,13,reviewed,us,us
2001-01-01T03:48:35.650Z,18.879,121.238,33,5.3,mwc,71,,,0.9,us,usp000a70f,2016-11-09T21:34:27.664Z,"Luzon, Philippines",earthquake,,,,,reviewed,us,hrv
2001-01-01T03:37:37.210Z,-24.199,-179.638,474.4,4.7,mb,100,,,0.81,us,usp000a70e,2014-11-07T01:11:49.595Z,"south of the Fiji Islands",earthquake,,,,28,reviewed,us,us
2001-01-01T00:52:17.661Z,55.5611,-159.7006,57.1,3.3,ml,,,,0.65,ak,ak0011nuj3a,2020-02-20T20:36:59.947Z,"40 km SSW of Ivanof Bay, Alaska",earthquake,,1,,,reviewed,ak,ak
2000-12-31T23:50:35.500Z,52.317,160.552,33,4.3,mb,14,,,1.16,us,usp000a708,2014-11-07T01:11:48.035Z,"151 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,,,,3,reviewed,us,us
2000-12-31T23:42:59.690Z,-26.547,-107.261,10,5.4,mwc,80,,,0.84,us,usp000a707,2016-11-10T00:20:01.175Z,"225 km ENE of Hanga Roa, Chile",earthquake,,,,,reviewed,us,hrv
2000-12-31T22:07:00.300Z,-38.53,178.93,91,4,ml,11,,,,us,usp000a705,2014-11-07T01:11:48.020Z,"81 km E of Gisborne, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-12-31T21:56:50.900Z,-38.04,178.8,33,5.3,mwc,58,,,,us,usp000a704,2016-11-10T00:20:00.681Z,"97 km NE of Gisborne, New Zealand",earthquake,,,,,reviewed,wel,hrv
2000-12-31T20:20:34.560Z,52.589,-170.271,33,3.9,mb,10,,,0.97,us,usp000a702,2020-02-20T20:31:43.135Z,"102 km WSW of Nikolski, Alaska",earthquake,,,,4,reviewed,us,us
2000-12-31T16:12:34.400Z,-56.179,-27.217,100,4.5,mb,14,,,0.54,us,usp000a6zz,2014-11-07T01:11:48.004Z,"South Sandwich Islands region",earthquake,,,,2,reviewed,us,us
2000-12-31T15:54:13.600Z,-33.399,-70.12,6.2,3.1,md,9,,,,us,usp000a6zx,2014-11-07T01:11:48.000Z,"43 km E of Villa Presidente Frei, Ñuñoa, Santiago, Chile, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-31T14:47:12.700Z,-15.224,-173.797,115.1,4.5,mb,51,,,0.82,us,usp000a6zw,2014-11-07T01:11:47.987Z,"80 km N of Hihifo, Tonga",earthquake,,,,12,reviewed,us,us
2000-12-31T14:42:32.380Z,-3.621,151.736,33,3.8,mb,7,,,0.82,us,usp000a6zv,2014-11-07T01:11:47.986Z,"79 km NW of Rabaul, Papua New Guinea",earthquake,,,,1,reviewed,us,us
2000-12-31T13:04:57.260Z,-19.416,-176.181,246.5,4.1,mb,23,,,0.91,us,usp000a6zr,2014-11-07T01:11:47.963Z,"196 km WNW of Pangai, Tonga",earthquake,,,,5,reviewed,us,us
2000-12-31T12:56:12.900Z,-12.901,166.822,50.4,4.8,mb,38,,,1.2,us,usp000a6zq,2014-11-07T01:11:47.957Z,"133 km NW of Sola, Vanuatu",earthquake,,,,7,reviewed,us,us
2000-12-31T12:33:02.106Z,62.5315,-152.4352,5.3,3,ml,,,,0.99,ak,ak000gti1asi,2020-02-20T20:31:53.418Z,"80 km NW of Skwentna, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2000-12-31T12:05:06.470Z,-44.734,-79.654,33,4.5,mb,15,,,1.3,us,usp000a6zn,2014-11-07T01:11:47.942Z,"Off the coast of Aisen, Chile",earthquake,,,,3,reviewed,us,us
2000-12-31T11:15:03.110Z,22.256,143.738,116.4,3.1,mb,8,,,0.96,us,usp000a6zk,2014-11-07T01:11:47.936Z,"Volcano Islands, Japan region",earthquake,,,,1,reviewed,us,us
2000-12-31T08:56:39.780Z,44.653,147.918,100,4.5,mb,20,,,0.7,us,usp000a6zj,2014-11-07T01:11:47.929Z,"63 km S of Kuril’sk, Russia",earthquake,,,,2,reviewed,us,us
2000-12-31T07:51:46.010Z,8.27,127.199,47,5.3,mwc,41,,,0.91,us,usp000a6zh,2016-11-10T00:20:00.191Z,"85 km E of Barcelona, Philippines",earthquake,,,,,reviewed,us,hrv
2000-12-31T06:17:07.820Z,-6.011,153.36,33,4.5,mb,14,,,1.41,us,usp000a6ze,2014-11-07T01:11:47.895Z,"220 km SSE of Kokopo, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-31T06:04:14.406Z,51.3618,-177.0487,20.7,4,ml,,,,0.26,ak,ak000gteaicg,2020-02-20T20:31:51.664Z,"63 km SSW of Adak, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2000-12-31T05:59:00.510Z,-5.039,130.814,33,4.5,mb,12,,,0.71,us,usp000a6zd,2014-11-07T01:11:47.887Z,"224 km WNW of Tual, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-31T05:33:26.820Z,45.729,150.983,150,3.7,mb,10,,,0.74,us,usp000a6zc,2014-11-07T01:11:47.886Z,"249 km ENE of Kuril’sk, Russia",earthquake,,,,3,reviewed,us,us
2000-12-31T04:34:20.110Z,51.895,-175.986,65.1,4.2,mb,26,,,1.17,us,usp000a6z9,2014-11-07T01:11:47.876Z,"44 km E of Adak, Alaska",earthquake,,8.9,,5,reviewed,us,us
2000-12-31T04:03:48.120Z,-15.751,-178.392,450,3.8,mb,10,,,0.47,us,usp000a6z7,2014-11-07T01:11:47.859Z,"162 km S of Alo, Wallis and Futuna",earthquake,,,,1,reviewed,us,us
2000-12-31T03:23:01.250Z,-29.48,-177.896,73,5,mb,22,,,1.22,us,usp000a6z3,2014-11-07T01:11:47.848Z,"Kermadec Islands, New Zealand",earthquake,,9,,3,reviewed,us,us
2000-12-31T02:10:43.270Z,3.456,-74.953,33,4.5,ml,5,,,0.67,us,usp000a6yy,2014-11-07T01:11:47.742Z,"12 km NNE of Santa Isabel, Colombia",earthquake,,,,,reviewed,us,rsnc
2000-12-31T01:45:03.240Z,81.532,120.279,27.3,5.1,mwc,152,,,1.09,us,usp000a6yx,2016-11-10T00:19:59.698Z,"east of Severnaya Zemlya",earthquake,,,,,reviewed,us,hrv
2000-12-31T00:44:55.320Z,-5.121,153.973,115.7,3.9,mb,19,,,0.82,us,usp000a6yv,2014-11-07T01:11:47.561Z,"207 km ESE of Kokopo, Papua New Guinea",earthquake,,13.3,,1,reviewed,us,us
2000-12-31T00:26:58.790Z,53.5315,-166.7903,69.1,3,ml,,,,0.76,ak,ak000gtaupw7,2020-02-20T20:31:52.316Z,"41 km SSW of Unalaska, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2000-12-31T00:10:58.830Z,51.648,16.251,5,3,ml,12,,,0.79,us,usp000a6yu,2014-11-07T01:11:47.558Z,"7 km S of Szlichtyngowa, Poland",earthquake,,,,,reviewed,us,vie
2000-12-30T22:51:44.470Z,36.374,71.126,123.4,4.6,mb,29,,,0.82,us,usp000a6yr,2014-11-07T01:11:47.553Z,"50 km SW of Ashk?sham, Afghanistan",earthquake,,8.8,,7,reviewed,us,us
2000-12-30T22:41:25.570Z,-5.47,152.303,33,4.1,mb,12,,,1.16,us,usp000a6yq,2014-11-07T01:11:47.551Z,"124 km S of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-30T21:47:07.930Z,38.8158333,-122.7883333,0.42,3.02,md,51,41,0.009009,0.05,nc,nc21141515,2017-01-01T01:02:22.930Z,"5 km W of Cobb, California",earthquake,0.11,0.46,0.11,74,reviewed,nc,nc
2000-12-30T20:28:15.100Z,36.46,21.67,5,3.4,md,5,,,,us,usp000a6yj,2014-11-07T01:11:47.540Z,"40 km S of Methóni, Greece",earthquake,,,,,reviewed,ath,ath
2000-12-30T20:27:20.890Z,-5.412,152.377,33,4.3,mb,18,,,1.24,us,usp000a6yh,2014-11-07T01:11:47.538Z,"118 km S of Kokopo, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-30T20:23:15.540Z,-0.5,-80.716,33,3.5,mb,8,,,1.08,us,usp000a6yg,2014-11-07T01:11:47.536Z,"34 km WNW of Bahía de Caráquez, Ecuador",earthquake,,,,1,reviewed,us,us
2000-12-30T19:56:00.040Z,-16.868,-177.261,393.6,4,mb,23,,,0.81,us,usp000a6yf,2014-11-07T01:11:47.533Z,"297 km SSE of Alo, Wallis and Futuna",earthquake,,48.8,,6,reviewed,us,us
2000-12-30T19:46:30.300Z,-32.629,-71.714,15,3.5,md,13,,,,us,usp000a6ye,2014-11-07T01:11:47.531Z,"45 km N of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-30T19:42:52.710Z,24.317,122.974,55.6,5.1,mb,96,,,1,us,usp000a6yd,2014-11-07T01:11:47.523Z,"16 km S of Yonakuni, Japan",earthquake,,,,37,reviewed,us,us
2000-12-30T18:32:44.780Z,11.85,144.666,33,4.4,mb,19,,,1.15,us,usp000a6yb,2014-11-07T01:11:47.520Z,"156 km S of Merizo Village, Guam",earthquake,,,,2,reviewed,us,us
2000-12-30T18:30:05.510Z,37.5375,-118.4395,3.654,3.03,md,34,122,0.01081,0.06,nc,nc21141506,2018-04-24T22:36:22.614Z,"15 km NE of Mesa, California",earthquake,0.22,0.52,0.08,52,reviewed,nc,nc
2000-12-30T18:06:08.420Z,-17.642,-177.29,333.8,3.9,mb,18,,,0.63,us,usp000a6y9,2014-11-07T01:11:47.516Z,"Fiji region",earthquake,,49.3,,3,reviewed,us,us
2000-12-30T17:49:27.560Z,13.308,49.541,33,4.4,mb,23,,,0.98,us,usp000a6y8,2014-11-07T01:11:47.513Z,"143 km SSE of Mukalla, Yemen",earthquake,,,,3,reviewed,us,us
2000-12-30T17:09:16.310Z,22.767,-107.492,10,4.4,mb,47,,,1.44,us,usp000a6y7,2014-11-07T01:11:47.509Z,"122 km WSW of Mazatlán, Mexico",earthquake,,,,20,reviewed,us,us
2000-12-30T15:31:40.070Z,14.98,-60.625,70.2,4.8,mb,76,,,0.85,us,usp000a6y1,2014-11-07T01:11:47.495Z,"45 km ENE of Sainte-Marie, Martinique",earthquake,,2.8,,17,reviewed,us,us
2000-12-30T15:07:08.270Z,39.669,54.81,10,4.9,mb,149,,,1.04,us,usp000a6xz,2014-11-07T01:11:47.479Z,"41 km ENE of Balkanabat, Turkmenistan",earthquake,,,,66,reviewed,us,us
2000-12-30T14:44:30.947Z,60.5698,-149.754,43,3.1,ml,,,,0.44,ak,ak000grvr8ly,2020-02-20T20:32:02.160Z,"Kenai Peninsula, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2000-12-30T14:32:55.700Z,-30.018,-72.054,47.4,4.3,md,16,,,,us,usp000a6xw,2014-11-07T01:11:47.473Z,"Off the coast of Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-30T14:14:24.600Z,-34.771,-72.161,6.2,3.7,md,11,,,,us,usp000a6xv,2014-11-07T01:11:47.471Z,"66 km NNE of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-30T12:11:33.870Z,51.432,15.968,5,3,ml,11,,,1.25,us,usp000a6xr,2014-11-07T01:11:47.463Z,"4 km ENE of Chocianów, Poland",earthquake,,,,,reviewed,us,vie
2000-12-30T11:47:19.920Z,51.525,159.333,47.9,4.8,mb,63,,,1.21,us,usp000a6xq,2014-11-07T01:11:47.457Z,"168 km SSE of Vilyuchinsk, Russia",earthquake,,,,20,reviewed,us,us
2000-12-30T11:32:49.730Z,39.278,28.094,27.4,3.1,md,10,,,,us,usp000a6xp,2014-11-07T01:11:47.455Z,"8 km WNW of S?nd?rg?, Turkey",earthquake,,,,,reviewed,isk,isk
2000-12-30T11:08:45.600Z,-32.543,-68.984,160,3,md,6,,,,us,usp000a6xm,2014-11-07T01:11:47.453Z,"41 km NNW of Mendoza, Argentina",earthquake,,,,,reviewed,guc,guc
2000-12-30T10:44:13.350Z,-6.967,129.69,133.1,5.2,mwc,76,,,0.8,us,usp000a6xk,2016-11-10T00:19:27.134Z,"Banda Sea",earthquake,,3.8,,,reviewed,us,hrv
2000-12-30T09:43:28.230Z,21.862,122.994,33,4.6,mb,20,,,1.38,us,usp000a6xh,2014-11-07T01:11:47.441Z,"Taiwan region",earthquake,,,,11,reviewed,us,us
2000-12-30T09:15:30.250Z,-21.532,-179.013,585.6,3.8,mb,23,,,1.17,us,usp000a6xg,2014-11-07T01:11:47.437Z,"Fiji region",earthquake,,45.3,,1,reviewed,us,us
2000-12-30T07:42:46.700Z,-12.472,166.934,220.7,5.5,mwc,164,,,0.98,us,usp000a6xe,2016-11-10T00:19:26.581Z,"169 km NNW of Sola, Vanuatu",earthquake,,,,,reviewed,us,hrv
2000-12-30T06:18:54.440Z,-6.944,150.106,33,4.1,mb,7,,,1.03,us,usp000a6xc,2014-11-07T01:11:47.411Z,"102 km SE of Kandrian, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-30T06:12:23.400Z,-34.087,-70.592,6.9,3.7,md,13,,,,us,usp000a6xb,2014-11-07T01:11:47.409Z,"11 km NNE of Machalí, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-30T02:49:55.800Z,-32.081,-71.334,19.3,4,md,7,,,,us,usp000a6x8,2014-11-07T01:11:47.404Z,"42 km NNW of La Ligua, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-30T01:52:59.480Z,44.738,-123.1896667,61.944,3.1,md,18,118,,0.18,uw,uw10517913,2016-07-23T00:23:35.950Z,"7 km NNE of Adair Village, Oregon",earthquake,0.9,1.52,0.235,43,reviewed,uw,uw
2000-12-30T01:09:57.380Z,30.594,141.083,33,3.8,mb,9,,,1.09,us,usp000a6x5,2014-11-07T01:11:47.397Z,"Izu Islands, Japan region",earthquake,,,,2,reviewed,us,us
2000-12-30T00:42:51.430Z,37.614,69.461,33,3.7,mb,14,,,0.92,us,usp000a6x4,2014-11-07T01:11:47.395Z,"14 km NNE of Farkhor, Tajikistan",earthquake,,,,3,reviewed,us,us
2000-12-29T23:33:53.070Z,-22.253,-179.672,584,5.4,mwc,162,,,0.8,us,usp000a6x2,2016-11-10T00:19:01.368Z,"south of the Fiji Islands",earthquake,,,,,reviewed,us,hrv
2000-12-29T23:06:20.100Z,-35.302,-71.105,87.1,3.8,md,11,,,,us,usp000a6x0,2014-11-07T01:11:47.364Z,"26 km SE of Molina, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-29T22:46:18.000Z,36.6165,-121.2211667,6.573,3.25,ml,75,26,0.04865,0.06,nc,nc21141376,2017-01-01T00:57:10.200Z,"21 km SSE of Tres Pinos, California",earthquake,0.1,0.27,,13,reviewed,nc,nc
2000-12-29T21:06:32.710Z,46.7016667,-122.7843333,-0.683,3.1,md,19,169,0.06469,0.2,uw,uw10517868,2016-07-23T00:23:33.360Z,"12 km SSE of Bucoda, Washington",explosion,0.057,0.09,0.04,5,reviewed,uw,uw
2000-12-29T21:04:11.720Z,-10.339,161.336,33,4,mb,12,,,0.76,us,usp000a6wu,2014-11-07T01:11:47.353Z,"65 km WNW of Kirakira, Solomon Islands",earthquake,,,,4,reviewed,us,us
2000-12-29T21:00:56.860Z,33.1858333,-115.5993333,2.882,3.01,ml,37,40,0.01602,0.28,ci,ci9172162,2016-04-02T17:21:40.445Z,"10km SW of Niland, CA",earthquake,0.44,0.64,0.259,53,reviewed,ci,ci
2000-12-29T20:38:34.900Z,-34.41,-73.404,0,3.8,md,7,,,,us,usp000a6ws,2014-11-07T01:11:47.350Z,"136 km NW of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-29T20:06:36.810Z,10.855,-62.205,81,3.2,md,9,,,,us,usp000a6wr,2014-11-07T01:11:47.348Z,"32 km NNE of Güiria, Venezuela",earthquake,,,,,reviewed,trn,trn
2000-12-29T18:03:31.130Z,24.386,121.858,33,4.9,mb,80,,,1.21,us,usp000a6wm,2014-11-07T01:11:47.337Z,"42 km SSE of Yilan, Taiwan",earthquake,,,,26,reviewed,us,us
2000-12-29T17:56:45.120Z,29.613,68.659,33,3.9,mb,7,,,1.25,us,usp000a6wj,2014-11-07T01:11:47.334Z,"60 km S of Duki, Pakistan",earthquake,,,,2,reviewed,us,us
2000-12-29T17:28:50.690Z,15.223,-60.829,33,3.2,md,18,,,,us,usp000a6wh,2014-11-07T01:11:47.331Z,"46 km ESE of La Plaine, Dominica",earthquake,,,,,reviewed,fdf,trn
2000-12-29T16:01:24.000Z,51.5,6.8,1,3.1,ml,15,,,,us,usp000a6wc,2014-11-07T01:11:47.321Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2000-12-29T15:43:46.930Z,7.623,-75.233,33,4.1,ml,9,,,0.92,us,usp000a6wb,2014-11-07T01:11:47.319Z,"13 km ENE of Cáceres, Colombia",earthquake,,,,,reviewed,us,rsnc
2000-12-29T15:21:04.850Z,-5.444,152.576,33,4,mb,8,,,1.53,us,usp000a6w8,2014-11-07T01:11:47.314Z,"126 km SSE of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-29T14:58:26.750Z,4.368,-76.505,33,3.3,ml,6,,,0.94,us,usp000a6w6,2014-11-07T01:11:47.310Z,"26 km NW of Trujillo, Colombia",earthquake,,,,,reviewed,us,rsnc
2000-12-29T13:47:38.670Z,1.739,126.444,33,5.1,mwc,48,,,0.98,us,usp000a6w5,2016-11-10T00:19:00.693Z,"148 km NW of Ternate, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-29T13:21:19.780Z,-4.314,152.896,33,4.3,mb,18,,,1.17,us,usp000a6w4,2014-11-07T01:11:47.301Z,"69 km E of Kokopo, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-29T12:35:45.410Z,37.653,69.612,62.8,4.3,mb,17,,,1.01,us,usp000a6w3,2014-11-07T01:11:47.299Z,"9 km WNW of Chubek, Tajikistan",earthquake,,15.9,,3,reviewed,us,us
2000-12-29T12:28:43.200Z,-32.139,-71.035,86,3.6,md,8,,,,us,usp000a6w2,2014-11-07T01:11:47.297Z,"39 km NNE of La Ligua, Chile",earthquake,,,,,reviewed,guc,guc
2000-12-29T12:11:00.900Z,1.404,127.049,33,4.7,mb,19,,,1.09,us,usp000a6w1,2014-11-07T01:11:47.295Z,"77 km NNW of Ternate, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-29T12:02:49.360Z,-5.593,153.289,33,4.2,mb,15,,,1.4,us,usp000a6vz,2014-11-07T01:11:47.292Z,"178 km SE of Kokopo, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2000-12-29T11:21:09.960Z,-22.957,-66.716,220,3.9,mb,15,,,1.11,us,usp000a6vy,2014-11-07T01:11:47.290Z,"107 km WSW of Abra Pampa, Argentina",earthquake,,8.3,,1,reviewed,us,us
2000-12-29T10:44:12.300Z,-16.625,-172.701,33,4.6,mb,18,,,1.09,us,usp000a6vx,2014-11-07T01:11:47.287Z,"138 km ESE of Hihifo, Tonga",earthquake,,,,6,reviewed,us,us
2000-12-29T10:43:00.140Z,-4.243,152.742,33,5.3,mwc,98,,,0.93,us,usp000a6vw,2016-11-10T00:18:59.977Z,"53 km ENE of Kokopo, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
2000-12-29T08:58:39.240Z,-34.003,-68.679,33,3.8,md,11,,,1.71,us,usp000a6vv,2014-11-07T01:11:47.276Z,"75 km NNW of San Rafael, Argentina",earthquake,,,,,reviewed,us,guc
2000-12-29T08:45:59.200Z,9.699,-84.112,57.6,4.2,md,20,,,,us,usp000a6vu,2014-11-07T01:11:47.274Z,"10 km WNW of San Marcos, Costa Rica",earthquake,,,,,reviewed,casc,casc
2000-12-29T08:25:54.410Z,43.589,-127.257,10,3.7,mb,130,,,0.85,us,usp000a6vt,2014-11-07T01:11:47.265Z,"236 km WNW of Bandon, Oregon",earthquake,,,,5,reviewed,us,us
2000-12-29T07:53:44.400Z,-42.74,172.42,33,4.3,ml,11,,,,us,usp000a6vs,2014-11-07T01:11:47.264Z,"52 km NNW of Amberley, New Zealand",earthquake,,,,,reviewed,wel,wel
2000-12-29T05:13:12.000Z,-5.023,153.412,33,4.7,mb,15,,,1.49,us,usp000a6vq,2014-11-07T01:11:47.260Z,"147 km ESE of Kokopo, Papua New Guinea",earthquake,,,,5,reviewed,us,us
2000-12-29T04:08:22.110Z,39.364,53.891,33,4.2,mb,22,,,1.05,us,usp000a6vp,2014-11-07T01:11:47.258Z,"44 km WSW of Balkanabat, Turkmenistan",earthquake,,,,5,reviewed,us,us
2000-12-29T02:47:55.450Z,37.592,-8.35,10,3.3,mblg,30,,,1.3,us,usp000a6vm,2014-11-07T01:11:47.251Z,"25 km E of Odemira, Portugal",earthquake,,,,,reviewed,us,mdd
2000-12-29T02:45:11.450Z,37.5365,-118.4375,3.766,3.74,md,33,92,0.01261,0.06,nc,nc21141253,2018-04-24T22:36:20.592Z,"16 km NE of Mesa, California",earthquake,0.34,0.54,0.12,172,reviewed,nc,nc
