,latitude,longitude,depth,mag,id,country,day,month,year,timestamp
85,-57.84,-25.285999999999998,33.0,4.0,usp0009tmt,None,29,5,2000,959631223700000000
228,51.81100000000001,178.607,115.6,3.9,usp0009teq,United States,24,5,2000,959192217060000000
241,13.751,57.095,10.0,4.3,usp0009te5,None,24,5,2000,959173368850000000
259,47.016000000000005,151.21,133.7,4.4,usp0009tdg,None,24,5,2000,959148677140000000
382,-1.663,123.10700000000001,33.0,4.0,usp0009t8s,Indonesia,21,5,2000,958882946110000000
775,-14.687999999999999,173.222,623.8,4.5,usp0009ss3,None,11,5,2000,958012474230000000
782,21.462,144.558,200.0,3.2,usp0009srv,None,11,5,2000,958004142130000000
805,-57.206,-25.787,33.0,4.4,usp0009sqz,None,10,5,2000,957975319090000000
812,-40.31,176.56,33.0,3.9,usp0009sqs,New Zealand,10,5,2000,957961630100000000
1417,14.758,-48.518,10.0,4.1,usp0009rz5,None,27,4,2000,956876030980000000
1418,38.397,22.104,10.0,4.1,usp0009rz3,Greece,27,4,2000,956874532670000000
1422,10.102,-63.257,33.0,3.8,usp0009ryz,Venezuela,27,4,2000,956868884060000000
1440,-17.554000000000002,-176.75599999999997,33.0,5.4,usp0009rya,None,27,4,2000,956824707120000000
1560,-19.84,-177.77599999999998,550.0,4.2,usp0009rtd,None,24,4,2000,956580011680000000
1865,-20.235,174.21,550.0,4.5,usp0009rcy,None,16,4,2000,955908180040000000
1880,28.541999999999998,-112.88600000000001,10.0,3.8,usp0009rc9,Mexico,16,4,2000,955877643790000000
1992,10.975999999999999,-62.076,69.0,4.3,usp0009r6u,Venezuela,12,4,2000,955557967570000000
2085,23.741999999999997,-47.049,10.0,3.8,usp0009r2g,None,9,4,2000,955307377130000000
2090,-60.966,-25.772,33.0,4.3,usp0009r2a,None,9,4,2000,955291717080000000
2404,-17.704,-178.798,565.2,4.4,usp0009qn2,Fiji,1,4,2000,954606386240000000
2525,22.261999999999997,143.453,105.7,5.1,usp0009qfd,None,29,3,2000,954368572320000000
2528,16.913,146.341,75.7,4.8,usp0009qf6,None,29,3,2000,954361480440000000
2972,-7.125,129.922,127.7,4.2,usp0009pva,Indonesia,18,3,2000,953377985410000000
3087,-61.77,160.816,10.0,5.6,usp0009pq5,None,14,3,2000,953065338830000000
3228,2.987,122.404,586.7,3.4,usp0009ph6,None,10,3,2000,952693471210000000
3244,-29.744,-177.90400000000002,33.0,4.8,usp0009pgf,None,9,3,2000,952645056610000000
3549,-33.678000000000004,-70.986,60.2,3.3,usp0009p3e,Chile,29,2,2000,951808575310000000
3674,-19.528,173.81799999999998,33.0,7.1,usp0009nxg,None,25,2,2000,951443038640000000
3797,21.658,144.175,33.0,3.8,usp0009ns0,None,21,2,2000,951101294800000000
3800,21.739,143.56,33.0,5.1,usp0009nrv,None,20,2,2000,951091042260000000
4098,-27.643,65.683,10.0,4.8,usp0009nbt,None,11,2,2000,950308919570000000
4117,-32.766,-71.51100000000001,14.4,3.9,usp0009naw,Chile,11,2,2000,950247100860000000
4126,-27.427,65.712,10.0,4.4,usp0009nak,None,10,2,2000,950222342350000000
4229,44.191,-128.644,10.0,4.1,usp0009n5z,None,7,2,2000,949945843540000000
4231,31.037,141.694,33.0,5.4,usp0009n5x,None,7,2,2000,949941664580000000
4442,38.65,20.26,5.0,3.2,usp0009mwc,None,31,1,2000,949332527300000000
4648,-17.847,-179.921,650.0,4.7,usp0009mmd,Fiji,24,1,2000,948742121510000000
4659,21.666,144.22299999999998,125.8,4.6,usp0009mkw,None,24,1,2000,948689478300000000
4769,-17.538,-65.08800000000001,33.0,4.0,usp0009meb,Bolivia,20,1,2000,948409539320000000
4815,39.411,27.71,10.0,3.7,usp0009mck,Turkey,19,1,2000,948310980100000000
4932,-45.193000000000005,-14.401,10.0,4.4,usp0009m77,None,16,1,2000,948001910500000000
5209,-56.482,-28.151999999999997,183.6,4.5,usp0009kuj,None,7,1,2000,947214444670000000
5572,49.242,148.233,518.9,3.8,usp000a6tw,None,28,12,2000,977977266600000000
6664,51.54,177.58900000000003,65.8,4.6,usp000a5a9,None,1,12,2000,975640504720000000
6682,-8.847999999999999,154.0,33.0,4.3,usp000a59f,None,30,11,2000,975603084100000000
6683,-5.501,152.637,33.0,4.2,usp000a59e,None,30,11,2000,975602777640000000
6886,40.231,49.983999999999995,33.0,4.3,usp000a4z8,Azerbaijan,26,11,2000,975211222310000000
7341,78.601,-19.793,10.0,4.4,usp000a4bw,Greenland,19,11,2000,974607442680000000
7455,-4.8660000000000005,152.24,33.0,3.9,usp000a479,Papua New Guinea,18,11,2000,974516694490000000
7468,-5.269,153.151,33.0,5.5,usp000a46s,None,18,11,2000,974506618530000000
8347,17.660999999999998,-61.128,33.0,4.0,usp000a2qa,None,30,10,2000,972899913110000000
8927,-60.191,-46.81,10.0,5.3,usp000a1s5,None,14,10,2000,971555936650000000
9328,18.167,-67.406,7.3,3.7,usp000a15j,None,2,10,2000,970508633170000000
9332,-2.219,134.061,33.0,4.5,usp000a15c,Indonesia,2,10,2000,970503167670000000
9338,-33.959,-70.40899999999999,116.3,3.1,usp000a151,Chile,2,10,2000,970474799830000000
9346,-3.95,127.461,33.0,4.7,usp000a14t,Indonesia,2,10,2000,970463314650000000
9624,15.92,-60.434,33.0,4.1,usp000a0r8,None,24,9,2000,969782155310000000
9630,19.435,-109.029,10.0,3.7,usp000a0qy,None,24,9,2000,969772471970000000
9638,-33.926,-70.318,118.3,3.2,usp000a0qm,Chile,23,9,2000,969752663410000000
9847,-31.000999999999998,-13.29,10.0,4.9,usp000a0c0,None,17,9,2000,969166090760000000
9952,-58.555,-24.951999999999998,33.0,4.7,usp000a06t,None,13,9,2000,968841293580000000
10026,2.456,128.735,33.0,4.6,usp000a03c,Indonesia,11,9,2000,968699745270000000
10029,35.713,45.206,74.4,4.6,usp000a038,Iraq,11,9,2000,968691296520000000
10031,-57.726000000000006,-25.388,33.0,4.8,usp000a034,None,11,9,2000,968686168700000000
10302,15.093,-93.11200000000001,20.0,4.2,usp0009zmn,None,3,9,2000,967971186100000000
10420,9.211,58.06,10.0,5.0,usp0009zf4,None,31,8,2000,967709846400000000
11351,55.036,-35.39,10.0,4.6,usp0009y2p,None,7,8,2000,965665149910000000
11446,23.889,143.727,67.0,4.5,usp0009xyh,None,5,8,2000,965472543120000000
11454,-24.38,-112.031,10.0,5.3,usp0009xy4,None,5,8,2000,965456012560000000
11900,-3.26,137.69799999999998,55.7,4.2,usp0009xap,Indonesia,28,7,2000,964773698350000000
11908,33.935,139.102,10.0,4.8,usp0009xad,None,28,7,2000,964759136490000000
12039,-53.553000000000004,-3.1689999999999996,10.0,5.9,usp0009x4h,None,25,7,2000,964494869790000000
12430,57.4004,-154.2593,42.2,3.7,ak00093lg2zk,United States,16,7,2000,963737178569000000
12474,17.973,-99.777,17.0,3.5,usp0009wht,Mexico,14,7,2000,963618994700000000
12506,28.718000000000004,142.51,33.0,4.8,usp0009wg5,None,14,7,2000,963578311410000000
13523,-28.278000000000002,74.229,10.0,3.9,usp0009v2w,None,24,6,2000,961888577390000000
13695,24.587,123.208,106.3,3.6,usp0009uve,Japan,19,6,2000,961458352570000000
13714,-13.309000000000001,97.037,10.0,4.6,usp0009uug,None,19,6,2000,961400493150000000
13716,-20.788,-178.612,617.2,4.7,usp0009uud,Fiji,19,6,2000,961389590030000000
14229,-48.956,121.391,10.0,4.6,usp0009u5b,None,7,6,2000,960340848540000000
14298,9.568,92.221,54.9,4.5,usp0009u28,None,5,6,2000,960213116320000000
14306,-4.72,102.331,33.0,4.6,usp0009u1t,Indonesia,5,6,2000,960199931110000000
14639,-25.346,179.47099999999998,500.0,4.1,usp000afrp,None,29,5,2001,991169361930000000
14652,-25.980999999999998,70.389,10.0,4.6,usp000afr3,None,29,5,2001,991141962130000000
14717,-35.878,-97.835,10.0,4.4,usp000afmg,None,27,5,2001,990937350920000000
14770,28.076,139.261,514.1,4.4,usp000afj6,None,26,5,2001,990837326740000000
14786,-32.416,-14.296,10.0,4.8,usp000afhh,None,25,5,2001,990797799890000000
14854,-24.164,-175.81799999999998,33.0,4.7,usp000afek,None,24,5,2001,990680625280000000
15465,35.329,87.897,33.0,3.9,usp000aen3,China,8,5,2001,989356393170000000
15692,15.335,120.64299999999999,170.6,4.4,usp000aebk,Philippines,3,5,2001,988863782010000000
15781,50.9455,-171.7923,21.6,3.4,ak0015iovboe,None,30,4,2001,988639671023000000
15968,25.555999999999997,142.936,33.0,3.8,usp000adz4,None,26,4,2001,988256652150000000
16299,-14.785,66.222,10.0,5.2,usp000adhg,None,19,4,2001,987641050410000000
16508,-1.432,-13.078,10.0,4.4,usp000ad8f,None,14,4,2001,987267316850000000
16519,-54.63399999999999,-130.325,10.0,5.3,usp000ad7z,None,14,4,2001,987243279010000000
16532,3.1069999999999998,-84.165,33.0,4.6,usp000ad7f,None,14,4,2001,987223925120000000
16856,-25.618000000000002,179.579,500.0,4.5,usp000acty,None,8,4,2001,986755492350000000
17191,-30.34,-179.299,300.0,4.2,usp000acd3,None,1,4,2001,986145997920000000
17603,-16.622,-72.875,54.5,4.3,usp000abv2,Peru,22,3,2001,985252663300000000
17985,-22.193,-179.75099999999998,600.0,4.1,usp000aban,None,13,3,2001,984463589040000000
17987,-4.407,137.384,33.0,4.7,usp000abak,Indonesia,13,3,2001,984460848320000000
18101,35.201,87.301,33.0,4.3,usp000ab50,China,9,3,2001,984128325640000000
18182,0.342,97.676,33.0,5.1,usp000ab1v,Indonesia,7,3,2001,983953760140000000
18202,17.187,-99.94200000000001,33.0,5.1,usp000ab14,Mexico,6,3,2001,983915874170000000
18520,-49.398,121.41799999999999,10.0,5.2,usp000aahy,None,28,2,2001,983324916820000000
18560,-22.276999999999997,173.421,33.0,5.1,usp000aafu,None,27,2,2001,983253772470000000
18837,32.551,85.10799999999999,33.0,4.6,usp000aa1r,China,21,2,2001,982752486080000000
19268,35.054,88.117,33.0,3.5,usp000a9dw,China,10,2,2001,981827907870000000
19440,-49.515,125.27600000000001,10.0,4.3,usp000a965,None,6,2,2001,981475172740000000
19654,37.7841667,-122.16733329999998,11.895999999999999,3.49,nc21145780,United States,2,2,2001,981085287630000000
19839,32.414,141.804,33.0,4.0,usp000a8mb,None,29,1,2001,980748362870000000
20083,29.88,142.1,33.0,3.5,usp000a889,None,23,1,2001,980266915310000000
20415,-34.453,-70.319,3.4,3.6,usp000a7rv,Chile,15,1,2001,979602891500000000
20420,-15.83,167.43599999999998,33.0,4.9,usp000a7rp,Vanuatu,15,1,2001,979590999210000000
20431,-41.06,173.84,61.0,3.0,usp000a7r4,New Zealand,15,1,2001,979571619100000000
21379,-39.028,-15.991,10.0,4.6,usp000av2u,None,22,12,2001,1009042804890000000
21495,-33.205,77.962,10.0,4.8,usp000auxf,None,20,12,2001,1008808950990000000
21915,15.684000000000001,-95.959,64.1,3.9,usp000aucr,Mexico,10,12,2001,1008003298600000000
21940,28.000999999999998,139.184,502.8,4.7,usp000aubh,None,9,12,2001,1007925591400000000
22118,-28.296999999999997,74.194,10.0,4.3,usp000au4h,None,6,12,2001,1007666688240000000
22119,-28.090999999999998,74.308,10.0,4.6,usp000au4g,None,6,12,2001,1007665687270000000
22174,-8.827,67.462,10.0,4.1,usp000au2c,None,5,12,2001,1007568565170000000
22261,46.698,-122.76066670000002,0.722,3.1,uw10548348,United States,3,12,2001,1007419699670000000
22589,-32.631,-179.48,10.0,4.5,usp000atjf,None,27,11,2001,1006830661180000000
23115,35.859,90.63799999999999,10.0,4.5,usp000asvv,China,14,11,2001,1005733758650000000
23189,36.007,74.172,60.4,4.7,usp000assu,Pakistan,13,11,2001,1005621039530000000
23590,60.4271,-150.6144,41.4,3.2,ak001e5pkl5x,United States,4,11,2001,1004905425337000000
23823,-31.55,-69.42699999999999,185.8,3.8,usp000arx5,Argentina,30,10,2001,1004430939100000000
23831,16.788,-100.15899999999999,28.7,3.8,usp000arwq,Mexico,30,10,2001,1004414666600000000
23937,-56.27,147.572,10.0,4.0,usp000arrs,None,27,10,2001,1004210326940000000
24325,15.419,-96.068,6.6,4.3,usp000ar77,None,19,10,2001,1003460762400000000
24349,-19.631,-177.66,500.0,3.9,usp000ar68,None,18,10,2001,1003412935330000000
24354,-25.738000000000003,-177.141,33.0,4.2,usp000ar61,None,18,10,2001,1003392059670000000
24355,-49.961000000000006,116.037,10.0,3.8,usp000ar5z,None,18,10,2001,1003390098480000000
24364,18.785999999999998,146.97,33.0,4.0,usp000ar5c,None,18,10,2001,1003364067280000000
24638,15.18,-93.95299999999999,20.0,4.1,usp000aqt9,None,12,10,2001,1002917464700000000
24727,42.983000000000004,-111.479,5.0,3.1,usp000aqpc,United States,11,10,2001,1002779248800000000
25153,-30.546,117.191,10.0,3.8,usp000aq2f,Australia,1,10,2001,1001911933590000000
25154,27.188000000000002,139.969,500.0,3.7,usp000aq2e,None,1,10,2001,1001911081290000000
25156,-58.306000000000004,-25.438000000000002,33.0,5.6,usp000aq2c,None,1,10,2001,1001909895180000000
25161,80.87,-116.352,10.0,4.1,usp000aq25,None,1,10,2001,1001896135270000000
25168,5.662000000000001,-32.766999999999996,10.0,4.6,usp000aq1u,None,30,9,2001,1001874240780000000
25561,21.521,142.935,327.8,4.2,usp000apgp,None,20,9,2001,1000962708060000000
25576,4.468999999999999,62.137,10.0,4.1,usp000apg2,None,19,9,2001,1000936775680000000
25714,-34.105,-72.64699999999999,0.0,3.8,usp000apa3,None,16,9,2001,1000665507500000000
25729,53.838,-165.676,59.9,3.0,usp000ap9h,None,16,9,2001,1000638701810000000
25730,-60.581,-25.649,33.0,4.4,usp000ap9e,None,16,9,2001,1000635427100000000
26041,-36.614000000000004,-179.544,33.0,4.4,usp000anwe,None,9,9,2001,1000027544200000000
26256,-59.425,-25.701,33.0,4.1,usp000ankw,None,4,9,2001,999570524270000000
26691,19.416,-108.669,10.0,4.1,usp000an0v,None,25,8,2001,998751837850000000
26847,-27.093000000000004,-176.5,33.0,4.9,usp000amua,None,21,8,2001,998429278180000000
27448,26.908,143.311,33.0,4.8,usp000am1q,None,8,8,2001,997277353160000000
28488,-14.165,-14.27,10.0,4.5,usp000ajmn,None,16,7,2001,995274428800000000
30250,30.587,131.115,71.4,4.0,usp000ag7s,Japan,7,6,2001,991925133370000000
30572,-57.492,-148.08100000000002,10.0,4.5,usp000b59c,None,31,5,2002,1022817357820000000
30592,18.639,-67.679,30.8,3.4,usp000b58g,None,30,5,2002,1022786932800000000
30594,38.448,13.140999999999998,5.0,3.0,usp000b58d,None,30,5,2002,1022785265300000000
30601,-42.69,179.06,31.0,4.0,usp000b584,None,30,5,2002,1022764606000000000
30605,-19.605999999999998,-178.21599999999998,600.0,4.1,usp000b57z,Fiji,30,5,2002,1022760939530000000
30822,17.057000000000002,-85.45100000000001,33.0,3.9,usp000b4xv,None,25,5,2002,1022313531010000000
30935,-56.138000000000005,-138.69299999999998,10.0,4.5,usp000b4sb,None,22,5,2002,1022059713470000000
30956,-49.102,126.169,10.0,4.2,usp000b4rb,None,21,5,2002,1022014744330000000
31123,9.63,-99.77600000000001,33.0,4.7,usp000b4fk,None,17,5,2002,1021619661100000000
31301,-5.541,154.222,121.0,4.0,usp000b46u,None,12,5,2002,1021223615050000000
31602,81.7,-111.72,18.0,3.8,usp000b3tb,None,5,5,2002,1020623499000000000
31706,85.785,28.612,10.0,4.2,usp000b3nh,None,3,5,2002,1020439175250000000
32564,-22.035,-179.72799999999998,600.0,4.2,usp000b2ce,None,14,4,2002,1018765489000000000
32948,-30.945,-179.303,400.0,4.4,usp000b1tg,None,5,4,2002,1018036620610000000
33029,-55.763999999999996,-25.967,33.0,4.2,usp000b1pq,None,4,4,2002,1017897918400000000
33068,27.29,140.263,491.7,4.1,usp000b1n1,None,3,4,2002,1017823097610000000
33317,-20.837,-68.726,122.2,4.0,usp000b195,Chile,28,3,2002,1017355208170000000
33885,-25.375999999999998,-176.81900000000002,33.0,4.5,usp000b0gb,None,17,3,2002,1016348489300000000
34010,-28.324,178.53099999999998,600.0,4.4,usp000b0a9,None,14,3,2002,1016134318900000000
34014,34.232,76.45100000000001,39.7,4.2,usp000b0a4,India,14,3,2002,1016131195930000000
34015,21.555,143.121,308.8,3.9,usp000b0a3,None,14,3,2002,1016127047810000000
34048,30.528000000000002,141.738,33.0,4.3,usp000b08p,None,14,3,2002,1016066164280000000
34059,-35.718,-71.568,108.1,3.5,usp000b086,Chile,13,3,2002,1016045083000000000
34075,20.250999999999998,-45.513000000000005,10.0,4.3,usp000b07d,None,13,3,2002,1016000549140000000
34208,61.7107,-149.7364,34.8,3.2,ak0023666md7,United States,10,3,2002,1015732386836000000
34712,48.174,152.958,135.5,4.5,usp000azat,Russia,27,2,2002,1014850277940000000
35240,16.964000000000002,-100.169,7.7,3.4,usp000ayjb,Mexico,16,2,2002,1013828505800000000
35541,-38.87,175.63,5.0,4.0,usp000ay44,New Zealand,10,2,2002,1013306417100000000
36065,-59.665,-25.913,33.0,4.1,usp000axak,None,28,1,2002,1012185310770000000
36182,-43.083,-82.432,10.0,5.0,usp000ax5b,None,25,1,2002,1011994653050000000
36853,25.554000000000002,125.381,33.0,4.6,usp000aw9e,None,12,1,2002,1010799498750000000
36867,31.589000000000002,142.347,40.3,4.4,usp000aw8x,None,11,1,2002,1010786477670000000
37245,-41.265,-87.846,10.0,4.4,usp000avsj,None,3,1,2002,1010082646090000000
37421,13.894,-93.32700000000001,33.0,4.1,usp000bmub,None,31,12,2002,1041377471030000000
37425,31.825,49.419,33.0,4.8,usp000bmu3,Iran,31,12,2002,1041373332980000000
37430,36.49,22.67,27.0,3.3,usp000bmty,Greece,31,12,2002,1041369291700000000
37758,31.862,-40.681,10.0,4.6,usp000bmab,None,24,12,2002,1040708640940000000
37826,-33.16,-72.285,33.7,3.5,usp000bm7d,None,23,12,2002,1040606877100000000
38274,47.427,153.232,86.6,4.6,usp000bkm4,None,13,12,2002,1039771820090000000
38286,8.844,94.065,33.0,5.0,usp000bkkj,None,13,12,2002,1039743935770000000
38406,-50.028,-114.12100000000001,10.0,6.0,usp000bke2,None,10,12,2002,1039483713670000000
38421,-27.976999999999997,73.947,10.0,5.0,usp000bkdd,None,9,12,2002,1039441639230000000
38559,-28.111,62.751000000000005,10.0,5.1,usp000bk6x,None,6,12,2002,1039164742650000000
38706,63.4877,-147.8,2.9,3.1,ak002fg2apk2,United States,2,12,2002,1038870327707000000
38805,-11.238,117.26,19.2,5.5,usp000bjvf,None,1,12,2002,1038753443030000000
38806,-20.712,-178.555,550.0,4.5,usp000bjve,Fiji,1,12,2002,1038752869660000000
39297,38.42,25.37,5.0,3.1,usp000bj4y,Greece,22,11,2002,1037924800000000000
39633,-25.346,179.25900000000001,600.0,4.3,usp000bhq2,None,15,11,2002,1037338640770000000
40024,-28.932,-178.872,400.0,4.2,usp000bh3r,None,8,11,2002,1036785035160000000
40231,63.2543,-145.0903,7.2,3.0,ak002e8t00u9,United States,6,11,2002,1036568360651000000
40457,63.5884,-147.6036,1.9,3.3,ak002e5n64i9,United States,4,11,2002,1036426805294000000
41212,35.635,32.056999999999995,25.0,3.1,usp000bff3,None,27,10,2002,1035691804270000000
41464,9.135,-84.06299999999999,15.3,4.2,usp000bf2t,None,23,10,2002,1035371843300000000
41506,-20.633000000000003,-178.391,549.0,6.2,usp000bf0r,None,22,10,2002,1035286744210000000
41626,-18.237000000000002,-174.832,126.3,4.7,usp000beve,None,19,10,2002,1035042730590000000
41627,2.967,-84.186,10.0,4.7,usp000bevd,None,19,10,2002,1035041482940000000
41631,27.693,139.713,470.6,4.9,usp000bev9,None,19,10,2002,1035035438530000000
42010,-6.872000000000001,147.267,33.0,4.0,usp000beam,Papua New Guinea,11,10,2002,1034372163430000000
42018,-12.34,-14.821,10.0,4.4,usp000beaa,None,11,10,2002,1034361426700000000
42022,-3.6719999999999997,135.02100000000002,10.0,4.5,usp000bea2,Indonesia,11,10,2002,1034356102260000000
42271,-1.979,133.246,10.0,4.2,usp000bdxk,Indonesia,6,10,2002,1033895767980000000
42972,13.962,120.455,200.0,3.9,usp000bct0,Philippines,21,9,2002,1032590525140000000
42974,-39.35,176.95,31.0,3.8,usp000bcsx,New Zealand,21,9,2002,1032588816500000000
42993,43.46,12.444,5.0,3.0,usp000bcry,Italy,20,9,2002,1032558969400000000
43159,-33.405,-70.1,10.6,3.1,usp000bcgd,Chile,17,9,2002,1032267956700000000
43271,21.623,143.043,300.0,4.2,usp000bc9e,None,15,9,2002,1032065200400000000
43544,16.070999999999998,-97.57,16.2,4.0,usp000bbt1,Mexico,9,9,2002,1031562175800000000
43548,-31.218000000000004,126.546,10.0,3.9,usp000bbsq,Australia,9,9,2002,1031554631200000000
43682,-57.916000000000004,-24.991,33.0,5.4,usp000bbjw,None,7,9,2002,1031422116720000000
43848,-23.5,179.734,600.0,4.2,usp000bb7k,None,4,9,2002,1031115465260000000
43951,-23.381999999999998,179.08,600.0,4.4,usp000bb29,None,1,9,2002,1030893217380000000
44103,35.702,92.958,33.0,4.2,usp000bau9,China,29,8,2002,1030585099450000000
44112,37.44,20.88,5.0,3.5,usp000batu,None,28,8,2002,1030568289800000000
44114,19.539,-68.748,15.1,3.5,usp000batq,Dominican Republic,28,8,2002,1030556772260000000
44574,35.9386667,-120.48583329999998,9.823,3.12,nc21241088,United States,18,8,2002,1029658193990000000
44799,14.749,55.85,10.0,5.8,usp000b9tj,None,13,8,2002,1029227842770000000
44819,26.588,141.31799999999998,101.8,4.6,usp000b9sp,None,12,8,2002,1029196596350000000
44868,-54.236000000000004,-58.006,10.0,4.9,usp000b9q5,None,11,8,2002,1029070134930000000
44871,-0.596,67.24,10.0,4.4,usp000b9pw,None,11,8,2002,1029055243680000000
45126,28.112,140.283,377.7,4.0,usp000b9b0,None,4,8,2002,1028496481500000000
45133,-21.035999999999998,-174.637,33.0,4.7,usp000b9ap,None,4,8,2002,1028481907430000000
45146,-32.713,-70.35300000000001,122.9,3.3,usp000b9a6,Chile,4,8,2002,1028461858000000000
45333,-55.788000000000004,-26.844,33.0,5.0,usp000b918,None,30,7,2002,1028048569330000000
45350,35.896,90.523,33.0,3.7,usp000b902,China,29,7,2002,1027964752390000000
45359,37.96,20.36,5.0,3.4,usp000b8zn,Greece,29,7,2002,1027944182600000000
45615,-53.472,25.401,10.0,4.8,usp000b8k6,None,22,7,2002,1027358112010000000
45637,-31.8,-179.77,400.0,3.7,usp000b8j9,None,22,7,2002,1027319526740000000
45829,34.8,25.11,17.0,3.6,usp000b88c,None,17,7,2002,1026870076700000000
45842,31.533,104.045,33.0,4.1,usp000b87t,China,16,7,2002,1026839729910000000
45843,45.628,-2.012,10.0,3.3,usp000b87s,None,16,7,2002,1026836217480000000
46340,-32.751999999999995,-112.01,10.0,4.6,usp000b7ga,None,4,7,2002,1025811426370000000
46361,27.92,142.547,33.0,4.5,usp000b7f7,None,4,7,2002,1025758416400000000
46662,-7.062,103.881,10.0,4.6,usp000b70s,None,27,6,2002,1025160641590000000
46835,-60.107,-33.082,10.0,4.6,usp000b6sy,None,23,6,2002,1024840509020000000
46858,-41.82,172.64,100.0,3.9,usp000b6rr,New Zealand,23,6,2002,1024799330300000000
47202,-17.195999999999998,39.707,10.0,4.1,usp000b68g,None,16,6,2002,1024196423050000000
47211,-18.035,168.24,33.0,4.6,usp000b683,Vanuatu,15,6,2002,1024178696950000000
47269,21.768,-46.943000000000005,10.0,4.7,usp000b65k,None,14,6,2002,1024065198110000000
47293,-47.215,101.891,10.0,5.5,usp000b64q,None,14,6,2002,1024036517230000000
47641,-0.8009999999999999,-23.095,10.0,4.6,usp000b5mb,None,6,6,2002,1023344745370000000
47646,-59.468999999999994,-25.673000000000002,33.0,4.4,usp000b5m6,None,6,6,2002,1023331732100000000
47657,26.750999999999998,141.505,100.0,4.3,usp000b5kr,None,5,6,2002,1023317703940000000
47937,-37.91,178.7,33.0,4.0,usp000bykg,None,30,5,2003,1054337607000000000
48105,36.991,3.78,10.0,3.0,usp000byak,Algeria,27,5,2003,1054057207310000000
48372,29.779,142.149,33.0,4.5,usp000bxwa,None,22,5,2003,1053647471070000000
48519,-29.388,-177.916,33.0,4.5,usp000bxpf,New Zealand,21,5,2003,1053539006360000000
48565,-24.337,179.641,550.0,4.2,usp000bxmb,None,20,5,2003,1053462891080000000
49122,30.250999999999998,142.029,33.0,4.0,usp000bws4,None,7,5,2003,1052304085950000000
49124,-40.199,46.104,10.0,4.4,usp000bws2,None,7,5,2003,1052300863800000000
49608,28.679000000000002,-43.602,10.0,4.1,usp000bw26,None,27,4,2003,1051428710680000000
50089,26.397,141.505,79.4,4.8,usp000bv9v,None,16,4,2003,1050463523650000000
50410,28.3,138.977,518.4,4.6,usp000butz,None,9,4,2003,1049926174470000000
50632,-32.805,-72.89699999999999,32.9,3.5,usp000bug5,None,5,4,2003,1049586939100000000
51091,61.57,-140.7,5.0,3.5,usp000btrt,Canada,29,3,2003,1048923846000000000
51158,60.0014,-153.2086,134.2,3.0,ak0033yjqwor,United States,27,3,2003,1048793811152000000
51190,43.17,11.049000000000001,9.9,3.1,usp000btky,Italy,27,3,2003,1048746281200000000
51539,-5.44,146.793,151.6,4.6,usp000bt2u,Papua New Guinea,20,3,2003,1048134357860000000
51700,50.5526,177.2213,5.4,3.9,ak0033i0wmbh,None,17,3,2003,1047932760931000000
51762,68.844,-16.82,10.0,4.4,usp000bsva,None,17,3,2003,1047896909750000000
51778,18.562,-100.286,38.9,3.8,usp000bsuj,Mexico,17,3,2003,1047867972100000000
52063,-22.443,-179.64700000000002,600.0,4.9,usp000bsdh,None,11,3,2003,1047370836300000000
52145,-33.865,-178.922,33.0,4.3,usp000bs9k,None,9,3,2003,1047219639500000000
52563,13.921,-90.321,103.3,4.3,usp000brmy,Guatemala,28,2,2003,1046410503480000000
52578,4.4510000000000005,128.389,33.0,4.6,usp000brm5,None,27,2,2003,1046382924520000000
53084,-34.799,-179.755,33.0,5.2,usp000bquy,None,16,2,2003,1045434263410000000
53367,16.919,-101.49799999999999,16.1,3.7,usp000bqd3,None,10,2,2003,1044884768900000000
53595,-28.901,-179.148,400.0,4.6,usp000bq14,None,5,2,2003,1044430510400000000
53807,85.82700000000001,25.006999999999998,10.0,4.0,usp000bpr5,None,1,2,2003,1044082337010000000
53996,44.428000000000004,17.783,10.0,3.4,usp000bpbd,Bosnia and Herzegovina,27,1,2003,1043669813910000000
54023,38.62,23.41,23.0,3.1,usp000bp94,Greece,27,1,2003,1043626763100000000
54035,43.876999999999995,11.93,9.7,3.5,usp000bp85,Italy,26,1,2003,1043612630400000000
54278,-4.532,153.363,33.0,4.7,usp000bnwv,Papua New Guinea,21,1,2003,1043108274740000000
54494,44.489,-128.97899999999998,10.0,3.8,usp000bnm6,None,16,1,2003,1042680879860000000
54495,44.348,-129.113,10.0,4.0,usp000bnm4,None,16,1,2003,1042680164230000000
54572,29.416999999999998,-42.957,10.0,4.7,usp000bngq,None,13,1,2003,1042482365170000000
54602,46.558,153.401,33.0,4.6,usp000bnfc,None,12,1,2003,1042409529210000000
54883,-20.299,-178.06099999999998,550.0,4.8,usp000bn3w,None,5,1,2003,1041770030680000000
56005,51.053000000000004,177.80900000000003,33.0,4.3,usp000cfj6,None,19,12,2003,1071825768990000000
56028,36.579,71.02,198.7,3.9,usp000cfh1,Afghanistan,18,12,2003,1071779868880000000
56034,13.651,-88.77,33.0,4.3,usp000cfgr,El Salvador,18,12,2003,1071769964970000000
56500,-30.846,-71.377,72.2,3.1,usp000cet7,Chile,8,12,2003,1070869324500000000
56509,9.772,57.851000000000006,10.0,4.8,usp000cest,None,8,12,2003,1070842052470000000
56513,-44.98,166.73,12.0,3.9,usp000cesf,None,7,12,2003,1070831963400000000
